Borough,Borough/Citywide Office (B/CO),District,DBN,school_name_x,School Category,Program,Language,General/Special Education,school_name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,math_score,fl_score,history_score,science_score,english_score
Queens,Queens North,24,24Q061,I.S. 061 Leonardo Da Vinci,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,I.S. 061 Leonardo Da Vinci,2019-20,2265,0,0,0,0,0,0,0,754,735,776,0,0,0,0,1062,0.469,1203,0.531,113,0.05,46,0.02,2056,0.9079999999999999,10,0.004,40,0.018000000000000002,507,0.22399999999999998,701,0.309,2092,92.4%,88.2,74.34,,75.9,74.54,
Queens,Queens North,24,24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,I.S. 73 - The Frank Sansivieri Intermediate School,2019-20,2007,0,0,0,0,0,0,0,537,784,686,0,0,0,0,979,0.488,1028,0.512,554,0.276,24,0.012,1187,0.591,12,0.006,230,0.115,378,0.188,265,0.132,1383,68.9%,69.8,84.75999999999999,,,87.76249999999999,
Queens,Queens North,24,24Q077,I.S. 077,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,I.S. 077,2019-20,875,0,0,0,0,0,0,0,253,291,331,0,0,0,0,416,0.475,459,0.525,86,0.098,16,0.018000000000000002,689,0.787,3,0.003,81,0.09300000000000001,250,0.28600000000000003,186,0.213,774,88.5%,80.6,76.25999999999999,,,81.85,
Queens,Queens North,24,24Q102,P.S. 102 Bayview,K-8,Dual Language,Chinese,General Education,P.S. 102 Bayview,2019-20,1279,36,121,136,130,126,126,156,161,143,144,0,0,0,0,620,0.485,659,0.515,777,0.608,39,0.03,408,0.319,18,0.013999999999999999,37,0.028999999999999998,166,0.13,188,0.147,1042,81.5%,72.7,86.36666666666667,,,89.5,
Queens,Queens North,24,24Q311,Corona Arts & Sciences Academy,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,Corona Arts & Sciences Academy,2019-20,762,0,0,0,0,0,0,0,263,187,312,0,0,0,0,388,0.509,374,0.491,10,0.013000000000000001,12,0.016,736,0.966,2,0.003,2,0.003,165,0.217,183,0.24,Above 95%,Above 95%,90.3,70.05,,71.15,68.075,
Queens,Queens North,25,25Q189,J.H.S. 189 Daniel Carter Beard,Junior High-Intermediate-Middle,Dual Language,Chinese,General Education,J.H.S. 189 Daniel Carter Beard,2019-20,735,0,0,0,0,0,0,0,236,240,259,0,0,0,0,365,0.49700000000000005,370,0.503,463,0.63,23,0.031,233,0.317,3,0.004,13,0.018000000000000002,136,0.185,162,0.22,625,85.0%,80.8,82.92,,,91.67999999999999,
Queens,Queens South,27,27Q137,M.S. 137 America's School of Heroes,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,M.S. 137 America's School of Heroes,2019-20,1958,0,0,0,0,0,0,0,665,669,624,0,0,0,0,925,0.47200000000000003,1033,0.528,1048,0.535,84,0.043,726,0.371,38,0.019,62,0.032,303,0.155,174,0.08900000000000001,1622,82.8%,70.9,76.7375,,85.3,83.12,47.5
Queens,Queens South,28,28Q440,Forest Hills High School,High school,Dual Language,Spanish,General Education,Forest Hills High School,2019-20,3705,0,0,0,0,0,0,0,0,0,0,1028,916,906,855,1883,0.508,1822,0.49200000000000005,898,0.242,246,0.066,1359,0.36700000000000005,134,0.036000000000000004,1068,0.28800000000000003,626,0.16899999999999998,334,0.09,2787,75.2%,60.9,70.43809523809524,87.475,78.28,71.34,78.14285714285714
Queens,Queens North,30,30Q145,I.S. 145 Joseph Pulitzer,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,I.S. 145 Joseph Pulitzer,2019-20,1660,0,0,0,0,0,0,0,556,587,517,0,0,0,0,815,0.491,845,0.509,115,0.069,23,0.013999999999999999,1489,0.897,3,0.002,30,0.018000000000000002,229,0.138,260,0.157,1495,90.1%,82.4,79.38,,,80.75,
Queens,Queens North,30,30Q204,I.S. 204 Oliver W. Holmes,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,I.S. 204 Oliver W. Holmes,2019-20,445,0,0,0,0,0,0,0,154,123,168,0,0,0,0,210,0.47200000000000003,235,0.528,73,0.16399999999999998,86,0.193,246,0.5529999999999999,5,0.011000000000000001,35,0.079,122,0.27399999999999997,66,0.14800000000000002,395,88.8%,89.1,81.04,,,68.34,
Queens,Queens North,30,30Q204,I.S. 204 Oliver W. Holmes,Junior High-Intermediate-Middle,Dual Language,Spanish,Special Education,I.S. 204 Oliver W. Holmes,2019-20,445,0,0,0,0,0,0,0,154,123,168,0,0,0,0,210,0.47200000000000003,235,0.528,73,0.16399999999999998,86,0.193,246,0.5529999999999999,5,0.011000000000000001,35,0.079,122,0.27399999999999997,66,0.14800000000000002,395,88.8%,89.1,81.04,,,68.34,
Queens,Queens North,30,30Q450,Long Island City High School,High school,Dual Language,Spanish,General Education,Long Island City High School,2019-20,2204,0,0,0,0,0,0,0,0,0,0,823,557,418,406,1100,0.499,1104,0.501,314,0.142,197,0.08900000000000001,1509,0.685,43,0.02,141,0.064,377,0.171,231,0.105,1822,82.7%,82.0,57.828571428571436,74.89999999999999,64.39000000000001,57.74000000000001,66.87142857142858
Staten Island,Staten Island,31,31R051,I.S. 051 Edwin Markham,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,I.S. 051 Edwin Markham,2019-20,1313,0,0,0,0,0,0,0,454,442,417,0,0,0,0,656,0.5,657,0.5,73,0.055999999999999994,284,0.21600000000000003,656,0.5,29,0.022000000000000002,271,0.20600000000000002,382,0.29100000000000004,104,0.079,1042,79.4%,75.1,80.14000000000001,,72.92,81.75999999999999,
Staten Island,Staten Island,31,31R061,I.S. 061 William A Morris,Junior High-Intermediate-Middle,Dual Language,Spanish,Special Education,I.S. 061 William A Morris,2019-20,976,0,0,0,0,0,0,0,338,325,313,0,0,0,0,522,0.535,454,0.465,30,0.031,324,0.332,476,0.488,18,0.018000000000000002,128,0.131,294,0.301,106,0.109,786,80.5%,80.5,74.5,,68.2,82.86,
Brooklyn,Brooklyn North,32,32K349,"I.S. 349 Math, Science & Tech.",Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,"I.S. 349 Math, Science & Tech.",2019-20,298,0,0,0,0,0,0,0,74,99,125,0,0,0,0,142,0.47700000000000004,156,0.523,4,0.013000000000000001,32,0.107,255,0.856,2,0.006999999999999999,5,0.017,65,0.218,53,0.17800000000000002,281,94.3%,93.4,74.75,,,67.75,
Brooklyn,Brooklyn North,32,32K384,P.S. /I.S. 384 Frances E. Carter,K-8,Dual Language,Spanish,General Education,P.S. /I.S. 384 Frances E. Carter,2019-20,445,31,46,45,36,32,39,52,58,54,52,0,0,0,0,215,0.483,230,0.517,3,0.006999999999999999,64,0.14400000000000002,372,0.836,1,0.002,5,0.011000000000000001,118,0.265,93,0.209,382,85.8%,90.6,,,,65.15,
Brooklyn,Brooklyn North,32,32K384,P.S. /I.S. 384 Frances E. Carter,K-8,Dual Language,Spanish,Special Education,P.S. /I.S. 384 Frances E. Carter,2019-20,445,31,46,45,36,32,39,52,58,54,52,0,0,0,0,215,0.483,230,0.517,3,0.006999999999999999,64,0.14400000000000002,372,0.836,1,0.002,5,0.011000000000000001,118,0.265,93,0.209,382,85.8%,90.6,,,,65.15,
Brooklyn,Brooklyn North,32,32K556,Bushwick Leaders High School for Academic Excellence,High school,Dual Language,Spanish,Special Education,Bushwick Leaders High School for Academic Excellen,2019-20,339,0,0,0,0,0,0,0,0,0,0,121,91,72,55,173,0.51,166,0.49,4,0.012,50,0.147,271,0.799,10,0.028999999999999998,4,0.012,84,0.248,92,0.271,Above 95%,Above 95%,93.4,50.28333333333334,84.30000000000001,55.13000000000001,52.830769230769235,56.65714285714286
Brooklyn,Brooklyn North,32,32K562,Evergreen Middle School for Urban Exploration,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,Evergreen Middle School for Urban Exploration,2019-20,380,0,0,0,0,0,0,0,128,123,129,0,0,0,0,186,0.489,194,0.511,1,0.003,71,0.187,297,0.782,0,0.0,11,0.028999999999999998,89,0.23399999999999999,66,0.174,351,92.4%,91.8,59.0,,,53.8,53.5
