Borough,Borough/Citywide Office (B/CO),District,DBN,school_name_x,School Category,Program,Language,General/Special Education,school_name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,math_score,fl_score,history_score,science_score,english_score
Manhattan,Manhattan,4,04M206,P.S. 206 Jose Celso Barbosa,K-8,Dual Language,Spanish,Special Education,P.S. 206 Jose Celso Barbosa,2019-20,454,0,0,0,0,65,79,90,71,74,75,0,0,0,0,198,0.436,256,0.564,8,0.018000000000000002,103,0.22699999999999998,317,0.698,9,0.02,17,0.037000000000000005,192,0.423,68,0.15,380,83.7%,89.6,65.72,,,,
Manhattan,Manhattan,4,04M372,Esperanza Preparatory Academy,Secondary School,Dual Language,Spanish,General Education,Esperanza Preparatory Academy,2019-20,525,0,0,0,0,0,0,0,64,70,78,72,91,71,79,245,0.467,280,0.5329999999999999,8,0.015,62,0.11800000000000001,444,0.846,2,0.004,9,0.017,123,0.23399999999999999,160,0.305,478,91.0%,94.4,53.44736842105262,87.28,63.519999999999996,59.53333333333333,64.48571428571428
Manhattan,Manhattan,5,05M129,P.S. 129 John H. Finley,K-8,Dual Language,Spanish,General Education,P.S. 129 John H. Finley,2019-20,377,60,31,23,25,33,33,27,41,42,62,0,0,0,0,179,0.475,198,0.525,8,0.021,191,0.507,162,0.43,9,0.024,7,0.019,120,0.318,27,0.07200000000000001,352,93.4%,90.4,62.779999999999994,,,60.839999999999996,
Manhattan,Manhattan,5,05M161,P.S. 161 Pedro Albizu Campos,K-8,Dual Language,Spanish,General Education,P.S. 161 Pedro Albizu Campos,2019-20,762,0,43,51,64,64,81,96,121,117,125,0,0,0,0,382,0.501,380,0.499,11,0.013999999999999999,157,0.20600000000000002,571,0.7490000000000001,6,0.008,17,0.022000000000000002,213,0.28,184,0.24100000000000002,709,93.0%,94.3,85.1,,,,
Manhattan,Manhattan,6,06M209,Hamilton Grange Middle School,Junior High-Intermediate-Middle,Dual Language,Spanish,Special Education,Hamilton Grange Middle School,2019-20,321,0,0,0,0,0,0,0,118,117,86,0,0,0,0,147,0.45799999999999996,174,0.542,8,0.025,32,0.1,262,0.816,4,0.012,15,0.047,80,0.249,63,0.196,285,88.8%,86.8,79.85,,,76.76666666666667,
Manhattan,Manhattan,6,06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,K-8,Dual Language,Spanish,General Education,P.S./I.S. 210 - Twenty-first Century Academy for C,2019-20,430,17,42,47,44,42,48,37,47,58,48,0,0,0,0,213,0.495,217,0.505,3,0.006999999999999999,5,0.012,421,0.9790000000000001,0,0.0,1,0.002,99,0.23,145,0.337,398,92.6%,88.9,61.86666666666667,87.1,,69.43999999999998,
Manhattan,Manhattan,6,06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,K-8,Dual Language,Spanish,Special Education,P.S./I.S. 210 - Twenty-first Century Academy for C,2019-20,430,17,42,47,44,42,48,37,47,58,48,0,0,0,0,213,0.495,217,0.505,3,0.006999999999999999,5,0.012,421,0.9790000000000001,0,0.0,1,0.002,99,0.23,145,0.337,398,92.6%,88.9,61.86666666666667,87.1,,69.43999999999998,
Manhattan,Manhattan,6,06M311,Amistad Dual Language School,K-8,Dual Language,Spanish,General Education,Amistad Dual Language School,2019-20,427,0,49,45,54,44,44,44,50,46,51,0,0,0,0,215,0.504,212,0.496,4,0.009000000000000001,8,0.019,393,0.92,3,0.006999999999999999,19,0.044000000000000004,90,0.21100000000000002,129,0.302,333,78.0%,78.0,82.8,,,,
Manhattan,Manhattan,6,06M311,Amistad Dual Language School,K-8,Dual Language,Spanish,Special Education,Amistad Dual Language School,2019-20,427,0,49,45,54,44,44,44,50,46,51,0,0,0,0,215,0.504,212,0.496,4,0.009000000000000001,8,0.019,393,0.92,3,0.006999999999999999,19,0.044000000000000004,90,0.21100000000000002,129,0.302,333,78.0%,78.0,82.8,,,,
Manhattan,Manhattan,6,06M311,Amistad Dual Language School,K-8,Dual Language,Spanish,Special Education,Amistad Dual Language School,2019-20,427,0,49,45,54,44,44,44,50,46,51,0,0,0,0,215,0.504,212,0.496,4,0.009000000000000001,8,0.019,393,0.92,3,0.006999999999999999,19,0.044000000000000004,90,0.21100000000000002,129,0.302,333,78.0%,78.0,82.8,,,,
Manhattan,Manhattan,6,06M319,M.S. 319 - Maria Teresa,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,M.S. 319 - Maria Teresa,2019-20,386,0,0,0,0,0,0,0,127,115,144,0,0,0,0,182,0.47200000000000003,204,0.528,0,0.0,9,0.023,373,0.966,0,0.0,4,0.01,106,0.275,127,0.32899999999999996,Above 95%,Above 95%,92.0,71.98,,,71.24,
Manhattan,Manhattan,6,06M322,Middle School 322,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,Middle School 322,2019-20,325,0,0,0,0,0,0,0,79,109,137,0,0,0,0,145,0.446,180,0.5539999999999999,0,0.0,4,0.012,316,0.972,4,0.012,1,0.003,65,0.2,135,0.415,Above 95%,Above 95%,93.3,83.2,,59.9,70.33333333333333,
Manhattan,Manhattan,6,06M462,The College Academy,High school,Dual Language,Spanish,General Education,The College Academy,2019-20,367,0,0,0,0,0,0,0,0,0,0,99,84,104,80,157,0.428,210,0.5720000000000001,2,0.005,27,0.07400000000000001,326,0.888,5,0.013999999999999999,7,0.019,76,0.207,199,0.542,337,91.8%,92.9,54.952631578947376,85.43999999999998,59.14,56.92142857142858,52.41428571428572
Manhattan,Manhattan,6,06M468,High School for Health Careers and Sciences,High school,Dual Language,Spanish,General Education,High School for Health Careers and Sciences,2019-20,401,0,0,0,0,0,0,0,0,0,0,96,116,103,86,214,0.534,187,0.466,6,0.015,65,0.162,322,0.8029999999999999,4,0.01,4,0.01,75,0.187,167,0.41600000000000004,Above 95%,Above 95%,93.0,55.765,82.15,59.77,61.25,62.88333333333333
Manhattan,Manhattan,6,06M540,A. Philip Randolph Campus High School,High school,Dual Language,Spanish,General Education,A. Philip Randolph Campus High School,2019-20,1409,0,0,0,0,0,0,0,0,0,0,553,360,275,221,721,0.512,688,0.488,61,0.043,411,0.292,890,0.632,21,0.015,26,0.018000000000000002,243,0.172,185,0.131,1219,86.5%,86.7,63.95238095238095,75.03,67.37,65.76315789473684,73.94285714285715
Bronx,Bronx,7,07X223,The Laboratory School of Finance and Technology: X223,Secondary School,Dual Language,Spanish,General Education,The Laboratory School of Finance and Technology: X,2019-20,683,0,0,0,0,0,0,0,107,111,79,113,99,88,86,347,0.508,336,0.49200000000000005,6,0.009000000000000001,113,0.165,554,0.8109999999999999,5,0.006999999999999999,5,0.006999999999999999,130,0.19,35,0.051,637,93.3%,90.7,73.9375,,,64.2,71.23333333333333
Bronx,Bronx,7,07X584,I.S. 584,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,I.S. 584,2019-20,247,0,0,0,0,0,0,0,85,81,81,0,0,0,0,125,0.506,122,0.494,1,0.004,56,0.22699999999999998,188,0.7609999999999999,2,0.008,0,0.0,57,0.231,59,0.239,Above 95%,Above 95%,94.2,,,,72.95,
Bronx,Bronx,8,08X448,Soundview Academy for Culture and Scholarship,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,Soundview Academy for Culture and Scholarship,2019-20,374,0,0,0,0,0,0,0,113,130,131,0,0,0,0,182,0.48700000000000004,192,0.513,10,0.027000000000000003,108,0.289,252,0.674,2,0.005,2,0.005,95,0.254,32,0.086,307,82.1%,87.3,74.94,,,74.58,
Bronx,Bronx,9,09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,K-8,Dual Language,Spanish,General Education,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,2019-20,1043,0,113,122,118,120,119,119,114,106,112,0,0,0,0,516,0.495,527,0.505,29,0.027999999999999997,47,0.045,945,0.9059999999999999,14,0.013000000000000001,8,0.008,178,0.171,229,0.22,916,87.8%,92.4,69.12,,,80.325,
Bronx,Bronx,9,09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,K-8,Dual Language,Spanish,Special Education,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,2019-20,1043,0,113,122,118,120,119,119,114,106,112,0,0,0,0,516,0.495,527,0.505,29,0.027999999999999997,47,0.045,945,0.9059999999999999,14,0.013000000000000001,8,0.008,178,0.171,229,0.22,916,87.8%,92.4,69.12,,,80.325,
Bronx,Bronx,10,10X045,Thomas C. Giordano Middle School 45,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,Thomas C. Giordano Middle School 45,2019-20,708,0,0,0,0,0,0,0,228,252,228,0,0,0,0,357,0.504,351,0.496,7,0.01,121,0.171,552,0.78,7,0.01,21,0.03,155,0.21899999999999997,128,0.18100000000000002,671,94.8%,93.6,65.74000000000001,,,78.08,
Bronx,Bronx,10,10X080,J.H.S. 080 The Mosholu Parkway,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,J.H.S. 080 The Mosholu Parkway,2019-20,641,0,0,0,0,0,0,0,193,216,232,0,0,0,0,281,0.43799999999999994,360,0.562,54,0.084,102,0.159,451,0.7040000000000001,8,0.012,26,0.040999999999999995,174,0.271,172,0.268,566,88.3%,91.7,64.68571428571428,,70.16666666666667,75.01249999999999,75.76666666666667
Bronx,Bronx,10,10X390,M.S. 390,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,M.S. 390,2019-20,550,0,0,0,0,0,0,0,200,183,167,0,0,0,0,255,0.46399999999999997,295,0.536,6,0.011000000000000001,82,0.149,454,0.825,2,0.004,6,0.011000000000000001,124,0.225,150,0.273,Above 95%,Above 95%,94.6,80.60000000000001,,70.5,70.10000000000001,
Bronx,Bronx,11,11X127,J.H.S. 127 The Castle Hill,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,J.H.S. 127 The Castle Hill,2019-20,814,0,0,0,0,0,0,0,245,314,255,0,0,0,0,395,0.485,419,0.515,258,0.317,170,0.209,345,0.424,19,0.023,22,0.027000000000000003,164,0.201,118,0.145,642,78.9%,81.6,76.78,,,76.0375,
Bronx,Bronx,11,11X127,J.H.S. 127 The Castle Hill,Junior High-Intermediate-Middle,Dual Language,Spanish,Special Education,J.H.S. 127 The Castle Hill,2019-20,814,0,0,0,0,0,0,0,245,314,255,0,0,0,0,395,0.485,419,0.515,258,0.317,170,0.209,345,0.424,19,0.023,22,0.027000000000000003,164,0.201,118,0.145,642,78.9%,81.6,76.78,,,76.0375,
Brooklyn,Brooklyn North,13,13K113,M.S. 113 Ronald Edmonds Learning Center,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,M.S. 113 Ronald Edmonds Learning Center,2019-20,333,0,0,0,0,0,0,0,100,126,107,0,0,0,0,166,0.498,167,0.502,20,0.06,218,0.655,81,0.243,7,0.021,7,0.021,100,0.3,12,0.036000000000000004,299,89.8%,89.8,71.06666666666668,,,65.58,74.91999999999999
Brooklyn,Brooklyn North,13,13K691,Fort Greene Preparatory Academy,Junior High-Intermediate-Middle,Dual Language,French,General Education,Fort Greene Preparatory Academy,2019-20,209,0,0,0,0,0,0,0,60,77,72,0,0,0,0,97,0.46399999999999997,112,0.536,9,0.043,147,0.703,45,0.215,5,0.024,3,0.013999999999999999,66,0.316,12,0.057,192,91.9%,88.3,62.279999999999994,,,73.69999999999999,
