Borough,Borough/Citywide Office (B/CO),District,DBN,school_name_x,School Category,Program,Language,General/Special Education,school_name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
Queens,Queens North,24,24Q143,P.S. 143 Louis Armstrong,Elementary,Dual Language,Spanish,General Education,P.S. 143 Louis Armstrong,2019-20,1276,0,206,216,187,218,246,203,0,0,0,0,0,0,0,643,0.504,633,0.496,37,0.028999999999999998,16,0.013000000000000001,1202,0.9420000000000001,9,0.006999999999999999,12,0.009000000000000001,288,0.226,768,0.602,1181,92.6%,88.1%
Queens,Queens North,24,24Q143,P.S. 143 Louis Armstrong,Elementary,Dual Language,Spanish,Special Education,P.S. 143 Louis Armstrong,2019-20,1276,0,206,216,187,218,246,203,0,0,0,0,0,0,0,643,0.504,633,0.496,37,0.028999999999999998,16,0.013000000000000001,1202,0.9420000000000001,9,0.006999999999999999,12,0.009000000000000001,288,0.226,768,0.602,1181,92.6%,88.1%
Queens,Queens North,24,24Q211,Elm Tree Elementary School,Elementary,Dual Language,Spanish,General Education,Elm Tree Elementary School,2019-20,658,35,190,163,85,72,64,49,0,0,0,0,0,0,0,335,0.509,323,0.491,46,0.07,31,0.047,557,0.847,3,0.005,21,0.032,138,0.21,287,0.436,606,92.1%,87.6%
Queens,Queens North,24,24Q211,Elm Tree Elementary School,Elementary,Dual Language,Spanish,Special Education,Elm Tree Elementary School,2019-20,658,35,190,163,85,72,64,49,0,0,0,0,0,0,0,335,0.509,323,0.491,46,0.07,31,0.047,557,0.847,3,0.005,21,0.032,138,0.21,287,0.436,606,92.1%,87.6%
Queens,Queens North,24,24Q311,Corona Arts & Sciences Academy,Junior High-Intermediate-Middle,Dual Language,Spanish,General Education,Corona Arts & Sciences Academy,2019-20,762,0,0,0,0,0,0,0,263,187,312,0,0,0,0,388,0.509,374,0.491,10,0.013000000000000001,12,0.016,736,0.966,2,0.003,2,0.003,165,0.217,183,0.24,Above 95%,Above 95%,90.3%
Queens,Queens North,24,24Q330,Helen M. Marshall School,Elementary,Dual Language,Spanish,General Education,Helen M. Marshall School,2019-20,491,0,77,82,81,61,68,122,0,0,0,0,0,0,0,244,0.49700000000000005,247,0.503,25,0.051,17,0.035,444,0.904,3,0.006,2,0.004,103,0.21,160,0.326,459,93.5%,86.9%
Queens,Queens North,25,25Q020,P.S. 020 John Bowne,Elementary,Dual Language,Chinese,General Education,P.S. 020 John Bowne,2019-20,1190,96,174,163,210,201,169,177,0,0,0,0,0,0,0,576,0.484,614,0.516,851,0.715,44,0.037000000000000005,254,0.213,10,0.008,31,0.026000000000000002,160,0.134,385,0.324,1071,90.0%,82.6%
Queens,Queens North,25,25Q021,P.S. 021 Edward Hart,Elementary,Dual Language,Chinese,General Education,P.S. 021 Edward Hart,2019-20,1332,89,199,188,202,215,200,239,0,0,0,0,0,0,0,665,0.499,667,0.501,829,0.622,16,0.012,400,0.3,21,0.016,66,0.05,162,0.122,310,0.233,1010,75.8%,69.2%
Queens,Queens North,25,25Q032,P.S. 032 State Street,Elementary,Dual Language,Korean,General Education,P.S. 032 State Street,2019-20,1026,35,176,170,153,172,153,167,0,0,0,0,0,0,0,514,0.501,512,0.499,688,0.6709999999999999,6,0.006,207,0.20199999999999999,29,0.027999999999999997,96,0.094,124,0.121,139,0.135,678,66.1%,57.4%
Queens,Queens North,25,25Q107,P.S. 107 Thomas A Dooley,Elementary,Dual Language,Spanish,General Education,P.S. 107 Thomas A Dooley,2019-20,936,72,168,138,153,132,140,133,0,0,0,0,0,0,0,443,0.473,493,0.527,496,0.53,14,0.015,325,0.34700000000000003,11,0.012,90,0.096,142,0.152,236,0.252,695,74.3%,64.3%
