Borough,Borough/Citywide Office (B/CO),District,DBN,school_name_x,School Category,Program,Language,General/Special Education,school_name_y,Year,Total Enrollment,Grade 3K+PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,mostCommonEthnicGroup,language_number
Brooklyn,Brooklyn North,15,15K169,P.S. 169 Sunset Park,Elementary,Dual Language,Chinese,General Education,P.S. 169 Sunset Park,2019-20,1261,0,169,203,243,214,210,222,0,0,0,0,0,0,0,625,0.496,636,0.504,783,0.621,4,0.003,419,0.332,13,0.01,42,0.033,233,0.185,572,0.45399999999999996,1152,91.4%,93.1%,0.621,2
Brooklyn,Brooklyn North,15,15K169,P.S. 169 Sunset Park,Elementary,Transitional Bilingual Education,Chinese,General Education,P.S. 169 Sunset Park,2019-20,1261,0,169,203,243,214,210,222,0,0,0,0,0,0,0,625,0.496,636,0.504,783,0.621,4,0.003,419,0.332,13,0.01,42,0.033,233,0.185,572,0.45399999999999996,1152,91.4%,93.1%,0.621,2
Brooklyn,Brooklyn North,15,15K896,The School of Creativity and Innovation,Elementary,Dual Language,Chinese,General Education,The School of Creativity and Innovation,2019-20,101,18,64,19,0,0,0,0,0,0,0,0,0,0,0,44,0.436,57,0.564,62,0.614,0,0.0,32,0.317,1,0.01,6,0.059000000000000004,16,0.158,44,0.436,90,89.1%,84.4%,0.614,2
Brooklyn,Brooklyn South,20,20K069,P.S. 69 Vincent D. Grippo School,Elementary,Transitional Bilingual Education,Chinese,General Education,P.S. 69 Vincent D. Grippo School,2019-20,772,0,133,132,149,120,117,121,0,0,0,0,0,0,0,371,0.48100000000000004,401,0.519,695,0.9,5,0.006,36,0.047,1,0.001,35,0.045,98,0.127,340,0.44,Above 95%,Above 95%,90.2%,0.9,2
Brooklyn,Brooklyn South,20,20K105,P.S. 105 The Blythebourne,Elementary,Transitional Bilingual Education,Chinese,General Education,P.S. 105 The Blythebourne,2019-20,1382,0,246,209,265,235,201,226,0,0,0,0,0,0,0,642,0.465,740,0.535,1277,0.924,3,0.002,63,0.046,1,0.001,38,0.027000000000000003,122,0.08800000000000001,572,0.414,1231,89.1%,92.6%,0.924,2
Brooklyn,Brooklyn South,20,20K127,P.S. 127 Mckinley Park,Elementary,Transitional Bilingual Education,Chinese,General Education,P.S. 127 Mckinley Park,2019-20,517,0,90,82,89,92,79,85,0,0,0,0,0,0,0,250,0.484,267,0.516,204,0.395,2,0.004,121,0.23399999999999999,7,0.013999999999999999,183,0.354,113,0.21899999999999997,114,0.221,388,75.0%,65.7%,0.395,2
Brooklyn,Brooklyn South,20,20K160,P.S. 160 William T. Sampson,Elementary,Transitional Bilingual Education,Chinese,General Education,P.S. 160 William T. Sampson,2019-20,1234,0,205,193,220,188,212,216,0,0,0,0,0,0,0,589,0.47700000000000004,645,0.523,1100,0.8909999999999999,1,0.001,82,0.066,4,0.003,47,0.038,171,0.139,683,0.5529999999999999,1086,88.0%,92.8%,0.8909999999999999,2
Brooklyn,Brooklyn South,20,20K160,P.S. 160 William T. Sampson,Elementary,Transitional Bilingual Education,Chinese,Special Education,P.S. 160 William T. Sampson,2019-20,1234,0,205,193,220,188,212,216,0,0,0,0,0,0,0,589,0.47700000000000004,645,0.523,1100,0.8909999999999999,1,0.001,82,0.066,4,0.003,47,0.038,171,0.139,683,0.5529999999999999,1086,88.0%,92.8%,0.8909999999999999,2
Brooklyn,Brooklyn South,20,20K170,Ralph A. Fabrizio School,Elementary,Dual Language,Chinese,General Education,Ralph A. Fabrizio School,2019-20,1019,0,156,149,211,177,156,170,0,0,0,0,0,0,0,474,0.465,545,0.535,588,0.5770000000000001,4,0.004,179,0.17600000000000002,11,0.011000000000000001,237,0.233,148,0.145,323,0.317,920,90.3%,82.2%,0.5770000000000001,2
Brooklyn,Brooklyn South,20,20K186,P.S. 186 Dr. Irving A Gladstone,Elementary,Transitional Bilingual Education,Chinese,General Education,P.S. 186 Dr. Irving A Gladstone,2019-20,1118,0,180,183,207,191,158,199,0,0,0,0,0,0,0,563,0.504,555,0.496,443,0.396,5,0.004,308,0.275,11,0.01,351,0.314,174,0.156,346,0.309,811,72.5%,75.8%,0.396,2
Brooklyn,Brooklyn South,20,20K205,P.S. 205 Clarion,Elementary,Transitional Bilingual Education,Chinese,General Education,P.S. 205 Clarion,2019-20,1297,59,195,190,220,201,213,219,0,0,0,0,0,0,0,673,0.519,624,0.48100000000000004,754,0.581,20,0.015,283,0.218,7,0.005,233,0.18,250,0.193,236,0.182,883,68.1%,74.7%,0.581,2
Brooklyn,Brooklyn South,20,20K220,J.H.S. 220 John J. Pershing,Junior High-Intermediate-Middle,Transitional Bilingual Education,Chinese,General Education,J.H.S. 220 John J. Pershing,2019-20,1494,0,0,0,0,0,0,0,461,523,510,0,0,0,0,689,0.461,805,0.539,749,0.501,11,0.006999999999999999,656,0.439,9,0.006,69,0.046,249,0.16699999999999998,416,0.278,1289,86.3%,90.7%,0.501,2
Brooklyn,Brooklyn South,20,20K310,The School For Future Leaders,Elementary,Transitional Bilingual Education,Chinese,General Education,The School For Future Leaders,2019-20,436,0,105,74,78,54,64,61,0,0,0,0,0,0,0,215,0.493,221,0.507,374,0.858,0,0.0,44,0.10099999999999999,1,0.002,17,0.039,56,0.128,196,0.45,405,92.9%,88.1%,0.858,2
Brooklyn,Brooklyn South,20,20K445,New Utrecht High School,High school,Transitional Bilingual Education,Chinese,General Education,New Utrecht High School,2019-20,3480,0,0,0,0,0,0,0,0,0,0,1142,905,702,731,1514,0.435,1966,0.565,1406,0.40399999999999997,94,0.027000000000000003,1121,0.322,29,0.008,830,0.239,556,0.16,667,0.192,2820,81.0%,81.6%,0.40399999999999997,2
Brooklyn,Bronx,20,20K490,Fort Hamilton High School,High school,Transitional Bilingual Education,Chinese,General Education,Fort Hamilton High School,2019-20,4657,0,0,0,0,0,0,0,0,0,0,1296,1294,1102,965,2214,0.475,2443,0.525,1325,0.285,114,0.024,1484,0.319,97,0.021,1637,0.35200000000000004,683,0.147,690,0.14800000000000002,3343,71.8%,74.6%,0.35200000000000004,2
Brooklyn,Brooklyn South,20,20K505,Franklin Delano Roosevelt High School,High school,Dual Language,Chinese,General Education,Franklin Delano Roosevelt High School,2019-20,3300,0,0,0,0,0,0,0,0,0,0,976,1042,582,700,1356,0.41100000000000003,1944,0.589,1203,0.365,334,0.10099999999999999,1192,0.361,39,0.012,532,0.161,499,0.151,947,0.287,2650,80.3%,86.6%,0.365,2
